timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [1000 mb],Basel Temperature [850 mb],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20180413T0800,9.840529,11.03,2.26,76.0,8.714677,231.70984
20180413T0900,9.670529,10.57,1.69,84.0,11.019764,231.63252
20180413T1000,9.250529,10.18,1.0,91.0,9.793059,216.02737
20180413T1100,9.880529,10.52,1.02,88.0,10.144082,242.52557
20180413T1200,10.720529,11.18,2.42,72.0,8.714677,231.70984
20180413T1300,13.420529,13.15,3.13,64.0,6.849467,266.9872
20180413T1400,14.820529,14.21,3.2,57.0,14.044615,271.4688
20180413T1500,15.750529,15.2,3.02,53.0,11.525623,284.47028
20180413T1600,16.250528,15.81,3.4,50.0,13.004921,274.76364
20180413T1700,16.55053,16.3,3.8,48.0,12.979984,266.8202
20180413T1800,16.770529,16.91,4.6,45.0,11.879999,270.0
20180413T1900,16.690529,17.28,4.99,42.0,12.261158,266.63354
20180413T2000,15.500529,16.84,5.24,49.0,7.172949,287.52557
20180413T2100,14.400529,16.15,5.26,53.0,2.8116899,320.19443
20180413T2200,14.010529,15.49,5.23,54.0,5.4833565,113.19859
20180413T2300,13.080529,15.11,5.12,53.0,8.161764,131.42366
20180414T0000,11.910529,14.56,4.96,55.0,7.145796,139.08562
20180414T0100,10.970529,14.24,4.75,58.0,6.6087217,119.35774
20180414T0200,9.910529,13.49,4.67,62.0,7.4128532,119.054596
20180414T0300,9.310529,12.6,4.44,63.0,5.95906,115.01689
20180414T0400,8.560529,11.85,4.33,66.0,5.95906,115.01689
20180414T0500,7.9005284,11.19,4.31,69.0,6.9527545,111.2505
20180414T0600,7.3305287,10.74,4.22,72.0,7.5685663,115.34617
20180414T0700,7.3105288,10.62,3.84,74.0,6.9247384,117.89726
20180414T0800,8.0505295,10.76,3.77,74.0,6.9247384,117.89726
20180414T0900,10.400529,11.4,3.86,71.0,9.449572,107.74467
20180414T1000,12.960529,12.88,3.94,59.0,10.239453,100.124664
20180414T1100,15.220529,14.64,4.2,51.0,5.8048253,82.874985
20180414T1200,16.410528,15.58,4.65,47.0,3.396233,57.994614
20180414T1300,17.54053,16.54,5.38,46.0,4.198285,59.036232
20180414T1400,18.70053,17.7,6.47,46.0,4.8433046,41.987198
20180414T1500,19.510529,18.54,6.52,45.0,5.315336,28.30075
20180414T1600,20.06053,19.26,6.9,45.0,5.3517847,42.27368
20180414T1700,20.55053,20.08,7.49,40.0,6.439876,63.43495
20180414T1800,20.690529,20.55,7.96,35.0,7.9932976,82.23483
20180414T1900,20.160528,20.54,8.15,36.0,5.6002855,44.999985
20180414T2000,19.000528,19.94,8.25,47.0,8.766573,340.82098
20180414T2100,17.20053,19.02,8.24,58.0,10.24578,341.56506
20180414T2200,16.030529,18.44,8.18,59.0,8.0899935,327.72437
20180414T2300,15.170529,17.77,8.04,62.0,8.4042845,279.8658
20180415T0000,13.440529,15.77,7.74,76.0,11.620809,253.81079
20180415T0100,12.810529,14.78,7.54,76.0,12.522619,251.56506
20180415T0200,12.0505295,13.76,7.1,78.0,12.429127,259.992
20180415T0300,11.970529,13.39,6.18,78.0,12.371645,261.63412
20180415T0400,11.990529,12.66,5.52,79.0,12.979984,266.8202
20180415T0500,11.390529,12.15,5.8,86.0,9.3876505,274.3987
20180415T0600,11.070529,11.98,5.72,90.0,5.0528407,265.91437
20180415T0700,11.160529,12.15,5.82,89.0,3.219938,206.56505
20180415T0800,12.270529,12.42,6.08,83.0,3.671294,258.69006
20180415T0900,13.250529,13.11,5.86,79.0,2.5959969,303.69006
20180415T1000,14.290529,13.85,5.92,75.0,2.2768397,341.56506
20180415T1100,15.570529,14.86,6.08,69.0,4.3498964,335.55603
20180415T1200,16.920528,16.06,6.39,63.0,5.8048253,330.25513
20180415T1300,18.100529,17.17,6.51,57.0,8.049845,333.43497
20180415T1400,19.32053,18.51,8.7,58.0,6.4799995,360.0
