location,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad
lat,17.39359,17.39359,17.39359,17.39359,17.39359,17.39359
lon,78.46420,78.46420,78.46420,78.46420,78.46420,78.46420
asl,521.600,521.600,521.600,521.600,521.600,521.600
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Hyderabad Temperature [2 m elevation corrected],Hyderabad Precipitation Total,Hyderabad Relative Humidity [2 m],Hyderabad Mean Sea Level Pressure [MSL],Hyderabad Wind Speed [10 m],Hyderabad Wind Gust
20211008T0900,26.8629,0.4,72.0,1009.8,6.6185193,6.4799995
20211008T1000,27.6329,0.1,68.0,1009.6,5.0528407,6.12
20211008T1100,27.8629,0.2,66.0,1008.6,4.32,5.04
20211008T1200,29.1329,0.0,62.0,1007.6,6.8399997,6.8399997
20211008T1300,29.8429,0.0,59.0,1006.6,8.12197,7.5599995
20211008T1400,30.1129,0.0,57.0,1006.1,8.373386,7.92
20211008T1500,29.3929,0.2,59.0,1005.6,8.39657,7.2
20211008T1600,28.9529,0.2,60.0,1005.9,8.587338,7.92
20211008T1700,29.3529,0.0,59.0,1005.5,2.9024127,3.96
20211008T1800,28.5729,0.0,63.0,1005.9,3.4152596,4.68
20211008T1900,28.1629,0.0,67.0,1006.6,4.379589,5.7599998
20211008T2000,27.7329,0.0,70.0,1007.3,3.96,6.4799995
20211008T2100,27.2929,0.0,74.0,1007.8,3.96,6.8399997
20211008T2200,26.9829,0.0,75.0,1008.0,2.9024127,6.12
20211008T2300,26.7829,0.0,76.0,1007.5,1.4399999,5.04
20211009T0000,26.4829,0.0,77.0,1007.3,0.71999997,3.96
20211009T0100,26.1129,0.0,79.0,1006.8,2.1897945,3.2399998
20211009T0200,25.8229,0.0,80.0,1006.4,3.2399998,2.16
20211009T0300,25.5029,0.0,81.0,1006.0,4.379589,1.4399999
20211009T0400,25.1929,0.0,82.0,1006.4,4.379589,2.52
20211009T0500,24.9229,0.0,83.0,1007.3,3.2399998,2.52
20211009T0600,24.7829,0.0,84.0,1007.9,4.510787,5.04
20211009T0700,25.4529,0.0,82.0,1008.9,4.1046314,6.8399997
20211009T0800,27.2829,0.0,73.0,1009.1,5.0142193,6.4799995
20211009T0900,28.7429,0.0,67.0,1009.2,4.8433046,7.2
20211009T1000,28.6029,0.9,65.0,1008.7,7.5942082,9.72
20211009T1100,28.8729,0.2,62.0,1007.9,7.2,9.36
20211009T1200,29.0629,0.0,61.0,1007.5,6.9153743,9.36
20211009T1300,29.2129,0.0,60.0,1006.7,6.9247384,9.72
20211009T1400,29.2629,0.0,60.0,1006.1,6.297428,9.0
20211009T1500,29.5029,0.0,59.0,1005.5,6.9153743,9.0
20211009T1600,28.9729,0.0,61.0,1005.7,6.638072,8.64
20211009T1700,28.4929,0.3,64.0,1006.5,4.6102495,6.8399997
20211009T1800,27.9029,0.3,66.0,1006.8,7.172949,7.5599995
20211009T1900,27.1229,0.0,72.0,1007.7,7.072878,9.0
20211009T2000,26.2329,0.0,77.0,1008.5,6.9527545,11.5199995
20211009T2100,25.4729,0.0,80.0,1009.2,7.24486,12.959999
20211009T2200,25.0629,0.0,82.0,1009.0,6.9247384,12.599999
20211009T2300,24.6629,0.0,83.0,1008.3,6.638072,11.5199995
20211010T0000,24.2529,0.0,85.0,1008.2,7.145796,13.32
20211010T0100,23.8529,0.0,87.0,1007.7,7.4128532,12.959999
20211010T0200,23.5329,0.0,89.0,1007.4,7.8954163,12.959999
20211010T0300,23.2729,0.0,90.0,1007.1,8.049845,13.32
20211010T0400,23.0129,0.0,91.0,1007.4,8.217153,14.759999
20211010T0500,22.7729,0.0,91.0,1007.9,8.587338,16.56
20211010T0600,22.8829,0.0,89.0,1008.5,6.9153743,16.199999
20211010T0700,24.5229,0.0,83.0,1009.4,5.495161,14.4
20211010T0800,26.7529,0.0,72.0,1009.4,8.905908,12.24
20211010T0900,28.5929,0.0,64.0,1009.5,11.367109,13.32
20211010T1000,29.9229,0.0,56.0,1008.4,13.584932,12.959999
20211010T1100,30.8429,0.0,51.0,1007.7,13.324863,13.679999
20211010T1200,31.4729,0.0,49.0,1006.9,12.261157,13.32
20211010T1300,31.7229,0.0,48.0,1005.9,12.031756,13.32
20211010T1400,31.7129,0.0,48.0,1005.3,11.983188,14.759999
20211010T1500,31.4029,0.0,48.0,1004.7,11.298495,14.759999
20211010T1600,30.8529,0.0,50.0,1005.0,10.630672,14.4
20211010T1700,30.0329,0.0,52.0,1005.7,7.24486,11.879999
20211010T1800,28.6729,0.0,59.0,1006.6,7.5599995,9.36
20211010T1900,27.7429,0.0,65.0,1007.6,5.6920996,9.72
20211010T2000,26.9229,0.0,70.0,1008.3,6.297428,10.08
20211010T2100,25.8429,0.0,78.0,1009.0,5.3999996,10.08
20211010T2200,25.4429,0.0,79.0,1008.7,5.3517847,9.0
20211010T2300,25.0629,0.0,80.0,1008.1,5.6002855,8.64
20211011T0000,24.6329,0.0,81.0,1007.8,6.193674,9.72
20211011T0100,24.1729,0.0,83.0,1007.4,6.1305785,9.72
20211011T0200,23.6729,0.0,85.0,1007.0,6.638072,10.440001
20211011T0300,23.1629,0.0,87.0,1006.7,7.145796,11.5199995
20211011T0400,22.7729,0.0,89.0,1007.1,6.9153743,11.159999
20211011T0500,22.4229,0.0,90.0,1007.6,7.10031,12.24
20211011T0600,22.4829,0.0,88.0,1008.1,6.12,12.599999
20211011T0700,24.0029,0.0,83.0,1009.0,4.5536795,11.879999
20211011T0800,26.4229,0.0,70.0,1009.3,7.208994,10.440001
20211011T0900,28.1729,0.0,59.0,1009.5,9.178235,11.159999
20211011T1000,29.5529,0.0,49.0,1008.5,10.948973,11.5199995
20211011T1100,30.3529,0.0,46.0,1007.4,11.019764,13.679999
20211011T1200,31.0029,0.0,44.0,1006.5,11.457958,11.879999
20211011T1300,31.4729,0.0,42.0,1005.2,10.97262,11.5199995
20211011T1400,31.5629,0.0,41.0,1004.5,10.464797,12.599999
20211011T1500,31.3629,0.0,42.0,1003.7,10.691453,11.5199995
20211011T1600,30.9529,0.0,43.0,1004.1,10.739832,9.72
20211011T1700,30.1529,0.0,46.0,1004.7,8.209263,11.879999
20211011T1800,28.6129,0.0,52.0,1005.3,8.4963045,10.799999
20211011T1900,27.4429,0.0,59.0,1006.6,7.42159,11.879999
20211011T2000,26.2429,0.0,64.0,1007.3,6.2145634,13.32
20211011T2100,25.2429,0.0,69.0,1008.4,5.771239,12.959999
20211011T2200,24.6529,0.0,72.0,1008.1,5.0142193,10.799999
20211011T2300,24.1429,0.0,73.0,1007.8,4.510787,10.440001
20211012T0000,23.7729,0.0,73.0,1007.3,5.495161,9.72
20211012T0100,23.3429,0.0,73.0,1006.8,6.1305785,9.36
20211012T0200,22.8929,0.0,74.0,1006.3,6.9153743,9.72
20211012T0300,22.3729,0.0,75.0,1005.9,7.42159,10.440001
20211012T0400,21.9629,0.0,76.0,1006.3,7.42159,11.159999
20211012T0500,21.5429,0.0,77.0,1007.0,7.7043357,12.24
20211012T0600,21.4829,0.0,76.0,1007.3,6.87779,11.879999
20211012T0700,22.6129,0.0,74.0,1008.3,5.1544156,11.5199995
20211012T0800,25.2929,0.0,65.0,1008.8,5.4119864,10.08
20211012T0900,27.4129,0.0,55.0,1009.3,7.072878,8.28
20211012T1000,28.9329,0.0,48.0,1008.6,7.2,5.3999996
20211012T1100,29.8229,0.0,44.0,1007.3,7.7043357,6.4799995
20211012T1200,30.5429,0.0,41.0,1006.5,7.5942082,6.12
