location,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai
lat,19.04972,19.04972,19.04972,19.04972,19.04972,19.04972
lon,72.87594,72.87594,72.87594,72.87594,72.87594,72.87594
asl,6.200,6.200,6.200,6.200,6.200,6.200
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Mumbai Temperature [2 m elevation corrected],Mumbai Precipitation Total,Mumbai Relative Humidity [2 m],Mumbai Mean Sea Level Pressure [MSL],Mumbai Wind Speed [10 m],Mumbai Wind Gust
20211010T0200,25.2983,0.0,92.0,1008.1,8.089993,19.8
20211010T0300,25.0883,0.0,93.0,1007.8,7.729527,17.28
20211010T0400,25.018301,0.0,93.0,1007.9,7.4128532,13.32
20211010T0500,25.1383,0.0,92.0,1008.5,7.10031,10.799999
20211010T0600,25.2983,0.0,91.0,1008.8,6.763786,10.440001
20211010T0700,26.018301,0.0,88.0,1009.4,7.754637,12.599999
20211010T0800,26.7483,0.0,84.0,1010.0,12.015589,12.959999
20211010T0900,27.5983,0.0,80.0,1010.4,12.620554,13.32
20211010T1000,28.518301,0.0,76.0,1010.1,11.609651,12.599999
20211010T1100,28.9483,0.0,75.0,1009.1,11.631956,12.599999
20211010T1200,28.9983,0.1,75.0,1008.7,10.990322,12.599999
20211010T1300,28.778301,0.1,77.0,1008.1,10.799999,12.959999
20211010T1400,27.8383,0.2,81.0,1007.6,10.514218,13.679999
20211010T1500,27.5983,0.5,82.0,1007.1,10.799999,13.679999
20211010T1600,27.6783,0.4,81.0,1006.9,10.685391,13.679999
20211010T1700,28.5883,0.8,76.0,1006.8,6.792466,5.7599998
20211010T1800,28.3683,0.8,76.0,1007.1,4.802999,4.32
20211010T1900,28.3683,0.5,76.0,1007.7,2.968636,2.52
20211010T2000,28.4683,0.1,74.0,1007.8,3.5455887,1.8
20211010T2100,28.5883,0.0,73.0,1008.0,3.319036,2.16
20211010T2200,28.4783,0.0,74.0,1008.3,2.6208394,2.52
20211010T2300,28.2883,0.0,75.0,1007.9,2.9024127,3.6
20211011T0000,28.1183,0.0,76.0,1007.5,2.3051248,2.52
20211011T0100,27.9483,0.0,77.0,1007.0,1.9386592,1.8
20211011T0200,27.6983,0.0,79.0,1006.6,1.835647,3.2399998
20211011T0300,27.4483,0.0,83.0,1006.1,2.3051248,1.8
20211011T0400,27.0583,0.0,87.0,1006.2,3.6,3.6
20211011T0500,26.6383,0.0,91.0,1006.8,4.0249224,3.96
20211011T0600,26.358301,0.0,90.0,1007.1,4.379589,3.6
20211011T0700,26.5983,0.0,88.0,1007.8,5.771239,4.32
20211011T0800,27.8183,0.0,80.0,1008.4,3.96,3.2399998
20211011T0900,29.278301,0.0,73.0,1008.8,1.08,2.8799999
20211011T1000,30.6183,0.0,67.0,1008.4,0.8049845,4.68
20211011T1100,31.7083,0.0,63.0,1007.5,4.0249224,7.5599995
20211011T1200,32.3483,0.0,60.0,1006.7,5.0911684,10.08
20211011T1300,32.5983,0.0,59.0,1005.7,7.2,11.159999
20211011T1400,31.1483,0.6,65.0,1005.3,9.726665,11.5199995
20211011T1500,30.3383,0.9,69.0,1004.8,9.47012,9.72
20211011T1600,29.8983,0.4,70.0,1004.8,8.427383,8.28
20211011T1700,29.4683,0.3,71.0,1005.4,6.792466,6.8399997
20211011T1800,28.9683,0.0,73.0,1005.7,9.220499,9.0
20211011T1900,28.688301,0.0,77.0,1006.1,8.707237,12.599999
20211011T2000,28.5083,0.0,78.0,1006.4,6.379216,11.159999
20211011T2100,28.3983,0.0,79.0,1006.8,4.68,14.4
20211011T2200,28.1383,0.0,81.0,1006.8,3.7585104,12.959999
20211011T2300,27.938301,0.0,82.0,1006.1,2.8116899,8.64
20211012T0000,27.8183,0.0,83.0,1005.8,2.7416782,7.2
20211012T0100,27.5483,0.0,86.0,1005.3,2.6208394,5.7599998
20211012T0200,27.2983,0.0,88.0,1005.0,2.16,3.6
20211012T0300,27.0983,0.0,90.0,1004.6,1.484318,1.8
20211012T0400,26.9683,0.0,92.0,1004.6,1.609969,1.08
20211012T0500,26.9583,0.0,92.0,1005.3,1.8,5.7599998
20211012T0600,26.858301,0.0,88.0,1005.8,7.2,4.32
20211012T0700,27.0483,0.0,85.0,1006.7,6.8399997,7.92
20211012T0800,28.3283,0.0,76.0,1007.3,6.12,6.12
20211012T0900,29.8383,0.0,68.0,1008.0,3.8773184,5.04
20211012T1000,31.2883,0.0,62.0,1007.7,1.4399999,3.96
20211012T1100,32.4383,0.0,57.0,1006.8,3.5455887,7.2
20211012T1200,33.2383,0.0,55.0,1006.1,6.162207,10.08
20211012T1300,33.5483,0.0,54.0,1005.3,9.028754,12.24
20211012T1400,32.3583,0.2,60.0,1004.5,11.885453,13.32
20211012T1500,31.8483,0.2,64.0,1004.2,13.138765,13.679999
20211012T1600,31.6383,0.0,64.0,1004.1,13.1041975,11.159999
20211012T1700,30.8383,0.0,66.0,1004.7,11.043261,11.159999
20211012T1800,30.018301,0.0,69.0,1005.0,9.422101,9.36
20211012T1900,29.608301,0.0,72.0,1005.7,8.707237,11.879999
20211012T2000,29.2483,0.0,75.0,1006.2,6.5693827,12.959999
20211012T2100,28.9583,0.0,77.0,1006.7,5.506941,15.119999
20211012T2200,28.6983,0.0,77.0,1006.6,5.3999996,15.4800005
20211012T2300,28.3283,0.0,78.0,1006.0,6.1305785,15.119999
20211013T0000,27.858301,0.0,78.0,1005.5,6.8777895,15.4800005
20211013T0100,27.3383,0.0,80.0,1005.0,7.386582,15.4800005
20211013T0200,26.8183,0.0,82.0,1004.6,7.6367526,15.4800005
20211013T0300,26.3183,0.0,84.0,1004.2,7.6367526,14.759999
20211013T0400,25.8883,0.0,86.0,1004.6,7.2,14.4
20211013T0500,25.4883,0.0,88.0,1005.4,7.729527,14.759999
20211013T0600,25.688301,0.0,85.0,1006.0,6.2145634,11.879999
20211013T0700,26.5783,0.0,80.0,1007.0,6.4799995,10.799999
20211013T0800,28.8183,0.0,69.0,1007.5,5.8048253,9.72
20211013T0900,30.5383,0.0,63.0,1008.4,3.7064266,6.12
20211013T1000,31.938301,0.0,58.0,1007.8,1.9386592,5.3999996
20211013T1100,33.0983,0.0,54.0,1006.7,2.0991426,6.8399997
20211013T1200,33.9683,0.0,51.0,1005.8,3.7064266,9.72
20211013T1300,34.3383,0.0,51.0,1004.8,5.8603754,14.04
20211013T1400,34.2183,0.0,53.0,1004.1,9.3669195,16.56
20211013T1500,33.5183,0.0,56.0,1003.6,11.874544,18.72
20211013T1600,32.6683,0.0,59.0,1003.7,13.570615,20.16
20211013T1700,31.6383,0.0,64.0,1004.2,13.708391,13.679999
20211013T1800,30.608301,0.0,67.0,1004.6,9.360001,12.959999
20211013T1900,30.0883,0.0,73.0,1005.2,9.504273,11.5199995
20211013T2000,29.6983,0.0,78.0,1005.5,8.891343,12.599999
20211013T2100,29.3783,0.0,83.0,1006.0,6.638072,16.199999
20211013T2200,29.0683,0.0,85.0,1006.2,4.3349743,17.28
20211013T2300,28.8383,0.0,85.0,1005.8,3.319036,15.84
20211014T0000,28.4783,0.0,87.0,1005.7,3.9763298,7.92
20211014T0100,28.2283,0.0,89.0,1005.5,5.0528407,10.08
20211014T0200,27.6983,0.0,92.0,1005.3,6.28713,8.64
20211014T0300,27.1783,0.0,94.0,1005.3,6.28713,10.08
20211014T0400,26.768301,0.0,94.0,1005.5,6.6185193,11.5199995
20211014T0500,26.5883,0.0,93.0,1006.0,6.8777895,10.799999
20211014T0600,26.5583,0.0,87.0,1006.2,7.771331,10.440001
20211014T0700,26.9783,0.0,80.0,1006.8,9.178235,11.159999
20211014T0800,28.608301,0.0,68.0,1007.0,7.771331,10.440001
