location,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad
lat,23.04292,23.04292,23.04292,23.04292,23.04292,23.04292
lon,72.54681,72.54681,72.54681,72.54681,72.54681,72.54681
asl,55.400,55.400,55.400,55.400,55.400,55.400
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Ahmedabad Temperature [2 m elevation corrected],Ahmedabad Precipitation Total,Ahmedabad Relative Humidity [2 m],Ahmedabad Mean Sea Level Pressure [MSL],Ahmedabad Wind Speed [10 m],Ahmedabad Wind Gust
20211012T1000,32.8161,0.0,51.0,1008.3,8.049845,8.64
20211012T1100,34.0061,0.0,46.0,1007.4,7.69592,9.72
20211012T1200,34.826103,0.0,41.0,1006.5,6.2145634,8.64
20211012T1300,35.396103,0.0,38.0,1006.0,6.379216,7.5599995
20211012T1400,35.6661,0.0,36.0,1005.2,6.725354,8.64
20211012T1500,35.716103,0.0,35.0,1004.3,6.5693827,7.92
20211012T1600,35.486103,0.0,35.0,1004.0,7.6367526,8.64
20211012T1700,35.0861,0.0,36.0,1004.4,6.5693827,9.0
20211012T1800,34.326103,0.0,38.0,1004.7,4.802999,7.2
20211012T1900,33.7761,0.0,42.0,1005.3,1.835647,2.52
20211012T2000,33.1661,0.0,45.0,1006.0,1.08,4.32
20211012T2100,32.606102,0.0,47.0,1007.1,5.0528407,9.36
20211012T2200,31.4161,0.0,51.0,1007.4,7.6367526,11.159999
20211012T2300,30.226099,0.0,55.0,1006.9,8.699793,11.159999
20211013T0000,29.4261,0.0,56.0,1006.7,9.686609,10.08
20211013T0100,28.7661,0.0,56.0,1006.8,10.383987,10.440001
20211013T0200,28.1561,0.0,56.0,1006.4,10.163227,17.64
20211013T0300,27.6861,0.0,56.0,1006.1,10.041354,19.08
20211013T0400,27.2461,0.0,56.0,1006.0,10.182337,16.199999
20211013T0500,26.8461,0.0,55.0,1006.7,10.086427,18.359999
20211013T0600,26.5361,0.0,55.0,1007.2,7.5599995,15.4800005
20211013T0700,27.0961,0.0,54.0,1007.7,6.4799995,18.0
20211013T0800,29.126099,0.0,49.0,1008.2,9.72,14.04
20211013T0900,31.3961,0.0,43.0,1008.7,10.805999,14.4
20211013T1000,33.5161,0.0,37.0,1008.6,11.304229,12.24
20211013T1100,35.1361,0.0,33.0,1007.6,10.703569,9.36
20211013T1200,36.2561,0.0,30.0,1006.5,10.495713,10.08
20211013T1300,36.8861,0.0,29.0,1005.7,8.4963045,8.64
20211013T1400,37.146103,0.0,28.0,1004.8,7.24486,8.28
20211013T1500,37.216103,0.0,28.0,1003.9,6.9899354,8.28
20211013T1600,37.0061,0.0,28.0,1003.6,7.92,9.72
